Requirement,Code Snippet,Question,Error,Answer,URL,Source,Language,Difficulty
"Find the odd int
Given an array of integers, find the one that appears an odd number of times.

There will always be only one integer that appears an odd number of times.

Examples

[7] should return 7, because it occurs 1 time (which is odd).
[0] should return 0, because it occurs 1 time (which is odd).
[1,1,2] should return 2, because it occurs 1 time (which is odd).
[0,1,0,1,0] should return 0, because it occurs 3 times (which is odd).
[1,2,2,3,3,3,4,3,3,3,2,2,1] should return 4, because it appears 1 time (which is odd).","public static int find_it(int[] seq) 
  {
            var oddInt = seq.GroupBy(x => x)
                        .Where(x => x.Count() > 1 && x.Count() % 2 != 0)
                        .Select(x => x.Key).FirstOrDefault();
    
        return oddInt;
  }{
var oddInt = seq.GroupBy(x => x)
.Where(x => x.Count() > 1 && x.Count() % 2 != 0)
.Select(x => x.Key).FirstOrDefault();
return oddInt;
}""","What if there is only 1 occurance of number -1 ? Your code wouldn't catch it, but it's valid.","The example test passes, and in messing around in an online compiler, that passes too. However I keep getting this error when Attempting it: Test Failed Expected: -1 But was: 0

I feel like I'm missing something simple or maybe something is wrong with one of the Attemp tests?","I know I was missing something simple, thank you so much!

",https://www.codewars.com/kata/54da5a58ea159efa38000836/discuss,CodeWars,java,6kyu
,"public int sum (int n)
{
	if (n -- 1):
		return 1;
	else:
		return n + sum (n-1);
}","What value if returned by the method call sum(5)
",,,https://www.youtube.com/watch?v=tMtzyVa2vto,YouTube,,AP
,"public int result (int n)
{
	if (n == 1):
		return 2;
	else:
		return 2*result (n - 1);
}",What value is returned by the method call result (5)?,,,https://www.youtube.com/watch?v=tMtzyVa2vto,YouTube,,AP
,"public int mystery (int n, int a, int d):
{
	if (n == 1):
		return a;
	else:
		return d + mystery (n-1, a, d);
}","What values if returned by the method call mystery(3, 2, 6)?",,,https://www.youtube.com/watch?v=tMtzyVa2vto,YouTube,,AP
Identify the reverse digits on a credit card,"int n = 365;
int sum = 0;
while (n > 0)
{
	int digit = n % 10;
	sum = sum + digit;
	n = n/10;
}
System.out.println(sum);",Is n larger than 0? (repeat),,yes/no,https://www.youtube.com/watch?v=TZss5ukwN8s,YouTube,Java,Intro
Identify the reverse digits on a credit card,"int n = 365;
int sum = 0;
while (n > 0)
{
	int digit = n % 10;
	sum = sum + digit;
	n = n/10;
}
System.out.println(sum);",What are we printing?,,14,https://www.youtube.com/watch?v=TZss5ukwN8s,YouTube,Java,Intro
"Array.diff
Your goal in this kata is to implement a difference function, which subtracts one list from another and returns the result.

It should remove all values from list a, which are present in list b keeping their order.

Kata.arrayDiff(new int[] {1, 2}, new int[] {1}) => new int[] {2}
If a value is present in b, all of its occurrences must be removed from the other:

Kata.arrayDiff(new int[] {1, 2, 2, 2, 3}, new int[] {2}) => new int[] {1, 3}","function arrayDiff(a, b) {
  if (a.length === 0) {
    return [];
  }
  if (b.length === 0) {
    return a;
  }
  
  
  for (let i = 0; i < b.length; i++) { 
  
    let isIncluded = a.includes(b[i])
  
    a.forEach(arrItem => {
      if (isIncluded === true) {
      
      let position = a.indexOf(b[i]);
      a.splice(position, 1);
    }
  })
  }
  return a;
}; ","hi,

i'm not very well-versed in js so i'll try to help with the logic of your code. it seems that your program is not handling the cases when:

there are duplicates in a e.g., when a=[1,2,2], b=[1] your program only considers the first 2 and not the second","My code is not passing the test. However, in the browser it passes. I can't see where the mistake is. Could you please help? Thank you!",,https://www.codewars.com/kata/523f5d21c841566fde000009/discuss/java,CodeWars,JavaScript,6kyu
"Sum of Digits / Digital Root
Digital root is the recursive sum of all the digits in a number.

Given n, take the sum of the digits of n. If that value has more than one digit, continue reducing in this way until a single-digit number is produced. The input will be a non-negative integer.

Examples

    16  -->  1 + 6 = 7
   942  -->  9 + 4 + 2 = 15  -->  1 + 5 = 6
132189  -->  1 + 3 + 2 + 1 + 8 + 9 = 24  -->  2 + 4 = 6
493193  -->  4 + 9 + 3 + 1 + 9 + 3 = 29  -->  2 + 9 = 11  -->  1 + 1 = 2","using System; public class Number { static int res;

public int DigitalRoot(long n) { var str = n.ToString(); int length = str.Length; do { res = 0; for (int i = 0; i < str.Length; i++) { int conv = (int)Char.GetNumericValue(str[i]); res += conv; }

        length--;
        str = res.ToString();
        
        
    } while (length != 1);

    return res;
} }","That's a problem with your code, not a kata issue. You have an infinite loop if the initial number is a single digit number. Please read this: https://docs.codewars.com/training/troubleshooting#post-discourse","attempt execution timed out idk what's wrong cuz my internet connection is ok and I passed the tests here's my code
",,https://www.codewars.com/kata/541c8630095125aba6000c00/discuss/java,CodeWars,Java,6kyu
,"int main()
{
	double num1, num2, num3, avg;
	cout << “Enter the first number:”;
	cin >> num1;
	cout << “Enter the second number:”;
	cin >> num2;
	cout << “Enter the third number:”;
	cin >> num3;
	avg = num1 + num2 + num3 / 3;
	cout << “The average is” << avg << ends;
	return 0;
}","The program would show me that the average is 40, that's the output, which is incorrect, because the average of 60, 10 plus 20 plus 30 divided by 3 should be 20. Instead it shows me 40, so why?",,it misses the brackets.,https://www.youtube.com/watch?v=anhoM2eLkpc,YouTube,C++,
,"public class Trace {
        public static void main",(Draw a tracing table.) Let's see that happens when i equals 1.,,,https://www.youtube.com/watch?v=tJGrie7k97c,YouTube,,
,"int r = 1;
int i = 1;
while (i <= n):
{r = r*a;
i++;
}","What does this code do for arbitrary values of a and n?
(try a =2, n=4)",,,https://www.youtube.com/watch?v=Z4HL5JF4kp8,YouTube,,AP
